annearn,hrearn,exper,age,depends,married,tenure,educ,nrtheast,nrthcen,south,male,white,union,office,annhrs,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,vacdays,sicklve,insur,pension,annbens,hrbens,annhrssq,beratio,lannhrs,tenuresq,expersq,lannearn,peratio,vserat
19344,12.4,37,55,0,1,.5,12,0,0,1,1,1,1,0,1560,0,1,0,0,0,0,0,0,0,0,0,819.90002,888.48999,1708.39,1.1,2433600,.088316299,7.3524408,.25,1369,9.8701372,.045931,0
24200,12.1,35,51,2,0,.5,13,0,1,0,1,1,1,0,2000,0,1,0,0,0,0,0,0,0,0,0,819.90002,888.48999,1708.39,.85000002,4000000,.070594601,7.600903,.25,1225,10.09411,.036714502,0
16524,6,11,27,4,1,.5,12,0,1,0,1,1,0,0,2754,0,1,0,0,0,0,0,0,0,0,0,138.75,0,138.75,.050000001,7584516,.0083969003,7.9208102,.25,121,9.7125692,0,0
19408,12.13,9,25,1,1,.5,13,0,1,0,1,1,1,0,1600,0,1,0,0,0,0,0,0,0,0,0,138.75,0,138.75,.090000004,2560000,.0071490998,7.377759,.25,81,9.8734407,0,0
9600,4.71,4,20,0,1,.5,12,1,0,0,1,1,0,1,2040,0,1,0,0,0,0,0,0,0,356.10999,184.08,464.82001,0,1005.01,.49000001,4161600,.1046885,7.6207051,.25,16,9.1695185,0,.056269798
15576.9,7.79,18,47,1,1,.5,13,0,0,1,1,1,0,1,2000,0,1,0,0,0,0,0,0,0,995.69,408.10999,917.51001,1452.01,3773.3201,1.89,4000000,.24223819,7.600903,.25,324,9.6535444,.0932156,.090120599
15824.4,7.8299999,43,59,0,1,25,12,0,0,1,1,1,0,1,2021,0,1,0,0,0,0,0,0,0,995.69,408.10999,917.51001,1452.01,3773.3201,1.87,4084441,.2384495,7.6113482,625,1849,9.6693087,.0917577,.088711098
18900,9.04,24,45,7,1,4,16,0,0,0,1,1,0,1,2091,0,1,0,0,0,0,0,0,0,995.69,408.10999,917.51001,1452.01,3773.3201,1.8,4372281,.19964661,7.6453981,16,576,9.8469172,.076825902,.074275099
22000,8.1599998,20,36,4,1,15,12,0,1,0,1,1,1,1,2695,0,1,0,0,0,0,0,0,0,748.21002,349.14999,966.17999,0,2063.54,.76999998,7263025,.093797296,7.8991542,225,400,9.9987974,0,.049880002
19840,9.9200001,24,40,3,1,8,6,0,0,1,1,1,0,1,2000,0,1,0,0,0,0,0,0,0,748.21002,349.14999,966.17999,0,2063.54,1.03,4000000,.1040091,7.600903,64,576,9.8954554,0,.055310499
24000,12.77,14,35,2,1,8,16,0,0,0,1,1,0,1,1880,0,1,0,0,0,0,0,0,0,748.21002,349.14999,966.17999,0,2063.54,1.1,3534400,.085980803,7.5390272,64,196,10.08581,0,.0457233
27000,11.72,34,50,2,1,4,8,0,1,0,1,1,0,1,2304,0,1,0,0,0,0,0,0,0,748.21002,349.14999,966.17999,0,2063.54,.89999998,5308416,.0764274,7.7424021,16,1156,10.20359,0,.040642999
26000,13.27,31,51,1,1,15,16,0,0,0,1,1,0,1,1960,0,1,0,0,0,0,0,0,0,1147.83,357.60999,1107.05,1672.83,4285.3198,2.1900001,3841600,.16482,7.5806999,225,961,10.16585,.064339601,.057901502
6691.2002,3.28,3,24,3,0,.5,10,0,0,1,0,0,0,0,2040,0,0,1,0,0,0,0,0,0,147.67,41.049999,0,0,188.72,.090000004,4161600,.028204201,7.6207051,.25,9,8.8085489,0,.028204201
7467.6001,3.8099999,39,57,2,1,15,12,0,1,0,1,1,0,0,1960,0,0,1,0,0,0,0,0,0,281.69,1.17,386.5,296.51001,965.87,.49000001,3841600,.12934139,7.5806999,225,1521,8.9183292,.0397062,.037878301
7399.9902,3.7,5,29,3,1,2,13,0,1,0,1,0,1,0,2000,0,0,1,0,0,0,0,0,0,281.69,1.17,386.5,296.51001,965.87,.47999999,4000000,.1305231,7.600903,4,25,8.909234,.040068999,.038224399
7871.9902,4.0999999,5,23,0,0,.5,12,0,0,1,1,1,0,0,1920,0,0,1,0,0,0,0,0,0,210.25999,0,342.79001,0,553.04999,.28999999,3686400,.070255399,7.560081,.25,25,8.9710665,0,.026709899
7020,3,12,26,4,1,2,12,0,0,1,1,1,0,0,2340,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5475600,0,7.757906,4,144,8.8565187,0,0
10454.4,6.0500002,20,36,3,1,15,12,0,1,0,1,1,1,0,1728,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03003,421.64999,1444.76,.83999997,2985984,.1381963,7.45472,225,400,9.2547779,.040332299,.043529999
9839.9902,4.0999999,13,31,1,1,15,12,1,0,0,1,1,0,0,2400,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03003,421.64999,1444.76,.60000002,5760000,.1468253,7.7832241,225,169,9.1942101,.042850699,.046248
9243.7402,4.9299998,49,65,0,1,15,6,0,1,0,1,0,1,0,1875,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03003,421.64999,1444.76,.76999998,3515625,.156296,7.5363641,225,2401,9.1317015,.045614701,.049231201
9878.3896,4.1999998,29,49,1,1,15,8,1,0,0,1,1,0,0,2352,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03003,421.64999,1444.76,.61000001,5531904,.1462546,7.763021,225,841,9.1981049,.042684101,.046068199
11707.9,7.0700002,23,45,2,1,25,6,0,0,1,1,0,1,0,1656,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03003,421.64999,1444.76,.87,2742336,.1234004,7.4121599,625,529,9.3680191,.036014099,.0388695
9552.5498,5.5700002,20,36,3,1,15,13,1,0,0,1,0,0,0,1715,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03003,421.64999,1444.76,.83999997,2941225,.1512434,7.4471679,225,400,9.1645632,.04414,.047639601
10700,5.3499999,12,31,0,1,4,16,0,1,0,1,1,1,0,2000,0,0,1,0,0,0,0,0,0,124,0,136.07001,0,260.07001,.13,4000000,.024305601,7.600903,16,144,9.2779989,0,.0115888
8255.9902,4.3000002,23,40,1,1,2,12,0,0,1,1,1,0,0,1920,0,0,1,0,0,0,0,0,0,124,0,136.07001,0,260.07001,.14,3686400,.031500801,7.560081,4,529,9.0186939,0,.0150194
13160,7,38,58,4,1,25,12,1,0,0,1,1,1,0,1880,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,1.33,3534400,.1893077,7.5390272,625,1444,9.4849377,.060569201,.0623032
19400,7.0700002,33,49,1,0,15,12,0,1,0,1,1,1,0,2744,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,.91000003,7529536,.128417,7.917172,225,1089,9.8730288,.041087098,.0422634
15320.4,7.5100002,10,28,1,1,.5,13,0,0,0,1,1,1,0,2040,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,1.22,4161600,.1626126,7.6207051,.25,100,9.636941,.052028,.053517502
28000,11.91,28,44,4,1,.5,14,1,0,0,1,1,0,0,2350,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,1.0599999,5522500,.088974603,7.7621708,.25,784,10.23996,.028467501,.029282499
17000,7.5599999,10,28,1,1,8,13,0,0,1,1,1,0,0,2250,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,1.11,5062500,.1465465,7.7186861,64,100,9.7409687,.046887599,.04823
14000,7.9499998,23,44,0,1,25,12,0,0,1,1,1,1,0,1760,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,1.42,3097600,.17794929,7.4730692,625,529,9.546813,.056935001,.058564998
19032.301,11.13,17,34,1,1,8,10,0,0,0,1,1,1,0,1710,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,1.46,2924100,.130898,7.4442492,64,289,9.8538933,.041880898,.043079901
20100,6.6999998,16,32,2,1,4,12,0,0,0,1,1,0,0,3000,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,.82999998,9000000,.1239448,8.0063677,16,256,9.9084749,.0396562,.0407915
18547.199,8.3999996,24,40,3,1,15,12,0,0,1,1,1,1,0,2208,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,1.13,4875264,.1343216,7.699842,225,576,9.8280745,.042976301,.044206701
13132.5,5.1500001,8,24,1,1,2,12,0,1,0,1,1,0,0,2550,0,0,1,0,0,0,0,0,0,674.78003,145.13,874.28998,797.09003,2491.29,.98000002,6502500,.18970419,7.8438492,4,64,9.4828453,.060695998,.062433701
12240,6,42,62,0,1,25,10,0,1,0,1,1,1,0,2040,0,0,1,0,0,0,0,0,0,871.48999,0,1404.89,978.42999,3254.8101,1.6,4161600,.26591581,7.6207051,625,1764,9.4124641,.0799371,.071200199
21413,7.5999999,27,43,4,1,2,12,0,0,0,1,1,1,0,2817.5,0,0,1,0,0,0,0,0,0,871.48999,0,1404.89,978.42999,3254.8101,1.16,7938306,.1520016,7.9436049,4,729,9.9717531,.045693301,.040699098
16895.6,8.3599997,35,56,0,1,25,13,0,0,1,1,1,1,0,2021,0,0,1,0,0,0,0,0,0,871.48999,0,1404.89,978.42999,3254.8101,1.61,4084441,.1926425,7.6113482,625,1225,9.7348089,.057910301,.051580898
12680.6,5.1799998,25,42,2,1,.5,13,0,0,1,1,1,1,0,2448,0,0,1,0,0,0,0,0,0,871.48999,0,1404.89,978.42999,3254.8101,1.33,5992704,.25667629,7.8030272,.25,625,9.4478283,.077159598,.068726197
12240,5,18,34,1,0,4,10,0,0,1,1,1,0,0,2448,0,0,1,0,0,0,0,0,0,678.88,0,0,0,678.88,.28,5992704,.0554641,7.8030272,16,324,9.4124641,0,.0554641
12500,6.25,16,32,2,1,8,13,0,0,1,1,1,0,0,2000,0,0,1,0,0,0,0,0,0,266.64999,0,668.41998,0,935.06989,.47,4000000,.074805602,7.600903,64,256,9.4334841,0,.021331999
14375,5,33,48,0,1,25,12,0,1,0,1,1,0,0,2875,0,0,1,0,0,0,0,0,0,447.78,0,103.1,0,550.88,.19,8265625,.038322099,7.9638081,625,1089,9.573246,0,.0311499
13500,6,10,26,1,1,8,13,0,1,0,1,1,0,0,2250,0,0,1,0,0,0,0,0,0,447.78,0,103.1,0,550.88,.23999999,5062500,.040805899,7.7186861,64,100,9.5104446,0,.033168901
6875,3.4400001,31,47,2,1,2,12,0,0,1,1,1,0,1,2000,0,0,1,0,0,0,0,0,0,362.79999,64,390,195.2,1012,.50999999,4000000,.1472,7.600903,4,961,8.8356466,.0283927,.06208
7350,4.29,15,52,2,1,2,12,1,0,0,0,1,0,1,1715,0,0,1,0,0,0,0,0,0,83,74,161,0,318,.19,2941225,.043265302,7.4471679,4,225,8.9024553,0,.0213605
11500,5,9,25,2,1,4,10,0,0,1,1,1,0,1,2300,0,0,1,0,0,0,0,0,0,464.85999,186.46001,397.10001,0,1048.42,.46000001,5290000,.091167003,7.740664,16,81,9.3501024,0,.056636501
13100,7.4899998,9,25,1,0,.5,12,0,0,1,0,1,1,1,1750,0,0,1,0,0,0,0,0,0,905.65002,219.82001,998.96997,1230.22,3354.6599,1.92,3062500,.2560809,7.467371,.25,81,9.4803677,.093909897,.085913703
14169.6,7.3800001,10,32,2,1,4,13,1,0,0,1,1,1,1,1920,0,0,1,0,0,0,0,0,0,905.65002,219.82001,998.96997,1230.22,3354.6599,1.75,3686400,.2367505,7.560081,16,100,9.5588541,.086821102,.079428501
17500,7.7800002,14,31,2,1,4,13,1,0,0,1,1,0,1,2250,0,0,1,0,0,0,0,0,0,905.65002,219.82001,998.96997,1230.22,3354.6599,1.49,5062500,.1916949,7.7186861,16,196,9.7699566,.070298299,.0643126
25000,10,20,44,3,1,8,16,0,0,0,1,1,0,1,2500,0,0,1,0,0,0,0,0,0,905.65002,219.82001,998.96997,1230.22,3354.6599,1.34,6250000,.1341864,7.8240461,64,400,10.12663,.049208801,.0450188
24646.1,11.41,24,40,2,1,.5,16,0,1,0,1,1,0,1,2160,0,0,1,0,0,0,0,0,0,905.65002,219.82001,998.96997,1230.22,3354.6599,1.55,4665600,.1361132,7.6778641,.25,576,10.11237,.049915399,.045665201
17000,8.1700001,12,32,0,0,.5,16,0,1,0,1,1,0,1,2080,0,0,1,0,0,0,0,0,0,342.14001,28.709999,512.28998,0,883.14001,.41999999,4326400,.0519494,7.6401229,.25,144,9.7409687,0,.0218147
7119.9902,3.5599999,5,25,2,1,4,12,1,0,0,1,0,1,0,2000,0,0,1,0,0,0,0,0,0,355.32999,104.64,466.88,409.34,1336.1899,.67000002,4000000,.1876674,7.600903,16,25,8.8706617,.057491701,.064602599
9206.3896,5.48,9,28,0,1,4,13,0,1,0,1,1,1,0,1680,0,0,1,0,0,0,0,0,0,622.48999,13.48,750.75,606.38,1993.1,1.1900001,2822400,.21649089,7.426549,16,81,9.1276531,.065865099,.069079198
8495.9902,4.7199998,35,52,0,1,25,10,0,1,0,0,1,1,0,1800,0,0,1,0,0,0,0,0,0,622.48999,13.48,750.75,606.38,1993.1,1.11,3240000,.234593,7.495542,625,1225,9.0473499,.071372502,.074855298
8927.9902,4.6500001,2,19,0,0,.5,12,1,0,0,0,1,1,0,1920,0,0,1,0,0,0,0,0,0,622.48999,13.48,750.75,606.38,1993.1,1.04,3686400,.2232417,7.560081,.25,4,9.0969467,.067919001,.071233302
11900,5.9499998,31,49,0,0,15,8,1,0,0,1,1,0,0,2000,0,0,1,0,0,0,0,0,0,622.48999,13.48,750.75,606.38,1993.1,1,4000000,.1674874,7.600903,225,961,9.3842936,.050956301,.053442899
8524.7998,4.4400001,12,45,1,1,8,12,0,1,0,0,1,1,0,1920,0,0,1,0,0,0,0,0,0,622.48999,13.48,750.75,606.38,1993.1,1.04,3686400,.2338002,7.560081,64,144,9.0507355,.071131296,.074602298
24469.1,6.9200001,9,25,1,1,.5,12,0,1,0,1,1,1,0,3536,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.04,12500000,.1499818,8.1707516,.25,81,10.10517,.050472599,.0450482
23218,13,31,47,1,1,25,6,0,0,1,1,0,1,0,1786,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,2.05,3189796,.15806361,7.4877338,625,961,10.05268,.053192399,.047475699
12768,7.5999999,40,58,0,1,25,12,1,0,0,1,1,0,0,1680,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,2.1800001,2822400,.28743109,7.426549,625,1600,9.4546976,.096727803,.086332202
15507.7,8.0799999,39,57,1,1,15,12,0,1,0,1,1,1,0,1920,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.91,3686400,.2366515,7.560081,225,1521,9.6490917,.0796391,.0710802
18589.801,7.9000001,12,28,1,1,2,16,0,1,0,1,1,0,0,2352,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.5599999,5531904,.1974158,7.763021,4,144,9.830368,.066435397,.059295401
21484.6,9.7399998,13,29,2,1,8,12,1,0,0,1,1,0,0,2205,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.66,4862025,.1708163,7.698483,64,169,9.9750919,.057484001,.051306099
17600,6.4000001,13,33,2,1,4,12,1,0,0,1,1,1,0,2750,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.33,7562500,.20851821,7.9193559,16,169,9.7756538,.070171602,.062630102
17325,6.3000002,8,26,0,1,4,12,0,1,0,1,1,1,0,2750,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.33,7562500,.21182799,7.9193559,16,64,9.7599058,.071285397,.063624203
16800,8.75,15,37,4,1,2,12,0,0,1,1,1,1,0,1920,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.91,3686400,.2184476,7.560081,4,225,9.7291346,.073513098,.065612502
18500,7.8699999,7,24,1,1,4,12,0,1,0,1,1,1,0,2350,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.5599999,5522500,.198374,7.7621708,16,49,9.8255262,.066757798,.059583198
25000,11.82,25,42,1,1,25,10,0,1,0,1,1,1,0,2115,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.74,4473225,.14679679,7.6568098,625,625,10.12663,.049400799,.044091601
15085.9,5.9299998,26,43,6,1,15,12,1,0,0,1,1,0,0,2544,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.4400001,6471936,.24326821,7.8414931,225,676,9.6215162,.081865802,.073067598
26376,9.4200001,14,30,1,1,.5,18,0,1,0,1,1,1,0,2800,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.3099999,7840000,.13913859,7.9373751,.25,196,10.18021,.046823598,.041791402
15633.4,7.0900002,9,25,1,1,8,12,0,0,1,1,1,1,0,2205,0,0,1,0,0,0,0,0,0,898.54999,203.74001,1332.61,1235.02,3669.9199,1.66,4862025,.23474871,7.698483,64,81,9.6571646,.078998797,.070508704
15435,6.8600001,3,23,0,0,.5,16,0,1,0,1,1,1,0,2250,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,2.02,5062500,.2948001,7.7186861,.25,9,9.644393,.1061063,.080592804
12900,6.4499998,36,49,2,1,8,10,0,1,0,1,0,1,0,2000,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,2.28,4000000,.35273179,7.600903,64,1296,9.464983,.1269574,.096430197
14231.6,7.5700002,10,28,1,1,8,13,0,1,0,1,1,1,0,1880,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,2.4200001,3534400,.31972799,7.5390272,64,100,9.56322,.1150784,.087407596
17347.5,7.71,17,34,3,1,4,12,0,1,0,1,1,1,0,2250,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,2.02,5062500,.26229951,7.7186861,16,289,9.7612038,.0944084,.071707703
15600,6.5,5,23,0,0,2,12,0,1,0,1,1,1,0,2400,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,1.9,5760000,.29168209,7.7832241,4,25,9.6550264,.104984,.079740398
17704.6,6.5500002,27,50,0,1,15,10,0,1,0,1,1,1,0,2703,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,1.6799999,7306209,.25700891,7.9021182,225,729,9.78158,.092504203,.070261396
18142,7.7199998,26,43,0,1,25,10,0,1,0,1,1,1,0,2350,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,1.9400001,5522500,.2508125,7.7621708,625,676,9.8059835,.090273902,.068567403
17280,7.5,11,26,0,1,.5,12,0,1,0,1,1,1,0,2304,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,1.97,5308416,.26332411,7.7424021,.25,121,9.7573051,.094777197,.0719878
12811.5,7.02,35,53,5,1,25,10,0,1,0,1,0,1,0,1825,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,2.49,3330625,.3551684,7.509335,625,1225,9.4580984,.12783439,.097096398
21489,7.4099998,14,32,2,1,15,12,0,1,0,1,1,1,0,2900,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,1.5700001,8410000,.21174739,7.972466,225,196,9.975296,.076213397,.0578878
18326.9,8.5799999,9,27,2,1,8,12,0,1,0,1,1,1,0,2136,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,2.1300001,4562496,.248282,7.6666899,64,81,9.8161249,.089363202,.067875601
17680,8.8400002,18,34,0,1,8,12,0,0,1,1,1,1,0,2000,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,2.28,4000000,.25736651,7.600903,64,324,9.7801905,.092632897,.0703592
14994,7.6500001,10,28,0,1,8,12,0,1,0,1,1,1,0,1960,0,0,1,0,0,0,0,0,0,1243.95,0,1668.54,1637.75,4550.2402,2.3199999,3841600,.3034707,7.5806999,64,100,9.6154051,.109227,.082963198
11076.9,5.77,5,21,0,0,.5,12,0,1,0,1,1,0,1,1920,0,0,1,0,0,0,0,0,0,598.23999,201.97,656.28003,674.04999,2130.54,1.11,3686400,.19234081,7.560081,.25,25,9.3126173,.060851902,.072241299
9486.3896,4.8400002,9,37,2,0,4,13,0,1,0,0,1,0,1,1960,0,0,1,0,0,0,0,0,0,598.23999,201.97,656.28003,674.04999,2130.54,1.09,3841600,.22458909,7.5806999,16,81,9.1576138,.071054399,.084353499
17000,8.6700001,18,34,1,1,2,16,0,0,1,1,1,0,1,1960,0,0,1,0,0,0,0,0,0,1164.47,297.79001,1264.21,1716.1899,4442.6602,2.27,3841600,.2613329,7.5806999,4,324,9.7409687,.1009523,.086015299
20000,9.8999996,31,56,0,1,25,10,0,1,0,1,1,1,1,2021,0,0,1,0,0,0,0,0,0,1164.47,297.79001,1264.21,1716.1899,4442.6602,2.2,4084441,.222133,7.6113482,625,961,9.9034872,.085809499,.073113002
17500,10.42,16,38,1,1,15,18,1,0,0,0,1,0,1,1680,0,0,1,0,0,0,0,0,0,1164.47,297.79001,1264.21,1716.1899,4442.6602,2.6400001,2822400,.25386631,7.426549,225,256,9.7699566,.098067999,.083557703
20000,6.3000002,31,47,2,1,25,12,1,0,0,1,1,0,1,3172.5,0,0,1,0,0,0,0,0,0,1164.47,297.79001,1264.21,1716.1899,4442.6602,1.4,10100000,.222133,8.0622749,625,961,9.9034872,.085809499,.073113002
15000,7.25,17,33,1,1,15,13,1,0,0,1,1,0,1,2068,0,0,1,0,0,0,0,0,0,1164.47,297.79001,1264.21,1716.1899,4442.6602,2.1500001,4276624,.2961773,7.6343369,225,289,9.6158056,.1144127,.097484
17000,7.0799999,28,48,2,1,15,13,0,0,0,1,1,0,1,2400,0,0,1,0,0,0,0,0,0,1164.47,297.79001,1264.21,1716.1899,4442.6602,1.85,5760000,.2613329,7.7832241,225,784,9.7409687,.1009523,.086015299
19722.5,10.21,27,43,2,1,15,13,0,1,0,1,1,0,1,1932,0,0,1,0,0,0,0,0,0,1164.47,297.79001,1264.21,1716.1899,4442.6602,2.3,3732624,.2252584,7.5663109,225,729,9.8895149,.087016903,.074141704
17150,8.75,35,51,2,1,15,12,0,1,0,1,1,0,1,1960,0,0,1,0,0,0,0,0,0,1164.47,297.79001,1264.21,1716.1899,4442.6602,2.27,3841600,.25904721,7.5806999,225,1225,9.749753,.1000694,.085262999
